30.700 50.253 18 0 5 1	
31.430 48.644 18 0 5 1	
31.765 49.287 18 0 5 1	
33.525	59.015 18 0 5 1	
32.839	59.868 18 0 5 1	
32.524	59.004 18 0 5 1	
33.292	59.667 18 0 5 1	
31.493	60.050 18 0 5 1	
32.997	58.749 18 0 5 1	
32.882	59.204 18 0 5 1	
34.054	48.881 18 0 5 1	
33.772	48.825 18 0 5 1	
34.922	49.139 18 0 5 1	
34.960	48.168 18 0 5 1	
34.312	48.602 18 0 5 1	
35.342	48.279 18 0 5 1	
33.290	53.729 18 0 5 1	
32.506	52.047 18 0 5 1	
33.419	51.578 18 0 5 1	
31.108	51.592 18 0 5 1	
34.069	52.135 18 0 5 1	
32.784	50.892 18 0 5 1	
33.836	51.396 18 0 5 1	
31.909	52.382 18 0 5 1	
32.996	52.329 18 0 5 1	
29.961	57.540 18 0 5 1	
29.744	56.730 18 0 5 1	
28.048	57.706 18 0 5 1	
30.476	56.477 18 0 5 1	
29.236	58.452 18 0 5 1	
30.086	56.761 18 0 5 1	
34.570	47.861 18 0 5 1	
34.800	46.387 18 0 5 1	
34.429	46.568 18 0 5 1	
34.375	47.040 18 0 5 1	
36.008	60.349 18 0 5 1	
34.487	47.133 18 0 5 1	
34.276	47.514 18 0 5 1	
35.019	46.963 18 0 5 1	
33.887	48.177 18 0 5 1	
33.624	47.847 18 0 5 1	
33.618	48.380 18 0 5 1	
36.876	59.515 18 0 5 1	
36.208	59.339 18 0 5 1	
36.444	60.102 18 0 5 1	
36.554	58.990 18 0 5 1	
36.408	59.472 18 0 5 1	
35.368	60.329 18 0 5 1	
35.513	59.236 18 0 5 1	
27.549	56.540 18 0 5 1	
27.500	56.172 18 0 5 1	
25.738	57.770 18 0 5 1	
35.808	49.582 18 0 5 1	
36.532	50.646 18 0 5 1	
36.390	50.009 18 0 5 1	
36.604	49.174 18 0 5 1	
36.695	58.754 18 0 5 1	
37.509	58.651 18 0 5 1	
36.488	57.611 18 0 5 1	
37.152	58.000 18 0 5 1	
37.256	50.101 18 0 5 1	
37.332	49.630 18 0 5 1	
36.808	49.802 18 0 5 1	
37.664	49.095 18 0 5 1	
36.183	52.810 18 0 5 1	
36.602	53.831 18 0 5 1	
36.307	53.684 18 0 5 1	
36.342	52.338 18 0 5 1	
36.618	51.058 18 0 5 1
36.539	51.568 18 0 5 1
35.568	53.915 18 0 5 1	
35.481	52.959 18 0 5 1	
35.906	53.284 18 0 5 1	
32.008	51.263 18 0 5 1	
32.331	50.666 18 0 5 1	
32.499	51.072 18 0 5 1	
32.428	50.885 18 0 5 1	
32.217	50.854 18 0 5 1	
29.725	51.640 18 0 5 1	
27.769	54.375 18 0 5 1	
27.440	53.165 18 0 5 1	
28.576	53.044 18 0 5 1	
29.737	52.520 18 0 5 1	
28.605	53.577 18 0 5 1	
33.713	57.122 18 0 5 1	
34.063	56.609 18 0 5 1	
33.128	56.686 18 0 5 1	
37.778	45.984 18 0 5 1	
37.801	46.889 18 0 5 1	
38.418	47.042 18 0 5 1	
37.405	47.264 18 0 5 1	
38.813	45.702 18 0 5 1	
38.383	45.619 18 0 5 1	
37.925	47.663 18 0 5 1	
38.157	46.327 18 0 5 1	
38.590	47.051 18 0 5 1	
38.335	46.150 18 0 5 1	
38.604	46.668 18 0 5 1	
35.677	52.032 18 0 5 1	
35.742	52.754 18 0 5 1	
36.486	50.218 18 0 5 1	
35.538	51.276 18 0 5 1	
35.785	50.667 18 0 5 1	
34.942	51.063 18 0 5 1	
35.505	49.929 18 0 5 1	
34.452	52.241 18 0 5 1	
35.852	51.389 18 0 5 1	
35.095	51.727 18 0 5 1	
35.846	51.387 18 0 5 1	
31.690	55.567 18 0 5 1	
32.344	54.408 18 0 5 1	
31.490	54.613 18 0 5 1	
32.013	53.685 18 0 5 1	
31.822	54.171 18 0 5 1	
32.781	47.281 18 0 5 1	
36.867	45.705 18 0 5 1	
37.337	55.389 18 0 5 1	
25.459	61.136 18 0 5 1	
27.503	62.398 18 0 5 1	
29.499	60.810 18 0 5 1	
28.462	51.260 18 0 5 1	
35.955	51.712 18 0 5 1	
27.549	56.540 18 0 5 1	
38.117	46.394 18 0 5 1	
29.479	52.537 18 0 5 1	
35.478	48.905 18 0 5 1	
35.576	51.024 18 0 5 1	
35.313	50.581 18 0 5 1	
29.882	51.84 	8 0 5 11
26.857	57.053 18 0 5 1	
36.408	59.472 18 0 5 1	
27.206	57.100 18 0 5 1	
29.145	52.714 18 0 5 1	
27.660	56.835 18 0 5 1	
29.940	53.034 18 0 5 1	
33.861	51.440 18 0 5 1	
35.737	50.195 18 0 5 1	
37.171	58.537 18 0 5 1	
35.906	51.289 18 0 5 1	
37.633	57.697 18 0 5 1	
29.481	53.104 18 0 5 1	
29.586	60.866 18 0 5 1	
35.095	51.727 18 0 5 1	
34.628	46.851 18 0 5 1	
