37.07	45.91 18 0 5 1
35.00   46.59 18 0 5 1
35.22	47.16 18 0 5 1
34.77	48.06 18 0 5 1
34.48	47.71 18 0 5 1
34.57	47.24 18 0 5 1
33.82	48.05 18 0 5 1
33.82	48.58 18 0 5 1
35.12	49.34 18 0 5 1
35.68	49.10 18 0 5 1
34.51	48.80 18 0 5 1
31.31	51.79 18 0 5 1
31.63	48.84 18 0 5 1
31.97	49.49 18 0 5 1
30.9	50.45 18 0 5 1
32.21	51.46 18 0 5 1
32.63	51.08 18 0 5 1
29.94	52.72 18 0 5 1
27.64	53.36 18 0 5 1
27.97	54.57 18 0 5 1
28.8	53.78 18 0 5 1
32.98	47.48 18 0 5 1
27.75	56.74 18 0 5 1
27.7	56.37 18 0 5 1
25.94	57.97 18 0 5 1
28.25	57.91 18 0 5 1
32.7	51.27 18 0 5 1
32.42	51.05 18 0 5 1
	

	
	
	
	
	
	
	


	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
